"gene_id","GEL_AT_immature_top_leaf_R1","GEL_AU_immature_top_leaf_R2","GEL_AV_immature_top_leaf_R3","GEL_AW_mature_middle_leaf_R1","GEL_AX_mature_middle_leaf_R2","GEL_AY_mature_middle_leaf_R3","GEL_AZ_mature_bottom_leaf_R1","GEL_BA_mature_bottom_leaf_R2","GEL_BB_mature_bottom_leaf_R3","GEL_BC_immature_top_stem_R1","GEL_BD_immature_top_stem_R2","GEL_BE_immature_top_stem_R3","GEL_BI_primary_root_R1","GEL_BJ_primary_root_R2","GEL_BK_primary_root_R3","GEL_BL_secondary_root_R1","GEL_BM_secondary_root_R2","GEL_BN_secondary_root_R3"
"Gelse.v1.S048030.1",2344.22,2760.24,2590.42,2190.2,2261.37,2002.44,1618.21,1311.15,1228.99,3047.37,2405.41,2683.52,3214.04,2647.99,2923.24,4015.27,2474.48,2955.21
"Gelse.v1.S162660.1",2.96003,0,0.798161,0,0,0,0,0,0,0.350397,0,0,0,0,0.293818,0,0,0
"Gelse.v1.S036320.1",4.22729,0,3.63958,0.300371,0.506614,0,0.645934,0,0.298094,5.24094,2.26466,1.69872,4.07724,1.10488,3.66513,6.46146,1.4869,0.948199
"Gelse.v1.S152420.1",38.6175,28.8629,39.3888,33.0533,31.1614,27.8945,29.5907,23.9913,27.2532,49.4335,35.5359,46.152,33.056,28.5165,35.9988,41.073,30.5024,38.4007
"Gelse.v1.S180910.1",41.0323,42.7229,43.9831,31.0344,41.2972,28.1567,35.5584,27.5703,26.2206,38.7822,39.0997,34.422,35.9179,31.8623,40.7557,37.013,32.5925,39.3448
"Gelse.v1.S104220.1",37.8262,20.2058,33.7718,29.8079,28.6109,41.6817,18.71,17.0752,22.446,40.2855,35.9539,37.6286,30.6233,28.3618,19.2131,33.3757,31.305,28.8825
"Gelse.v1.S141800.1",0.0638525,0.147148,2.26345,0,0,0.0137843,0,0,0,4.17872,5.44488,1.90024,0.013985,0,0.0232965,0,0,0.0149694
"Gelse.v1.S217600.1",11.516,7.68879,14.1067,2.82586,2.41767,1.63665,0.615993,1.49889,1.14322,16.8551,30.6254,15.1174,0.70802,0.650719,0.930701,0.436149,0.204591,0.905342
"Gelse.v1.S201980.1",0.303182,0,0.203846,0.395029,0.321971,0.147587,0.684882,0.376987,1.07441,0.365289,0.160116,0,0,0.178742,0,0.362983,0.0469762,0.0402222
"Gelse.v1.S070160.1",0.614092,0.380489,0.969078,0.24068,0.350099,0.160748,0.0547423,0.131966,0.0840873,1.40962,0.904748,1.58191,1.34896,1.38814,0.885978,0.916673,0.645249,0.759426
"Gelse.v1.S236990.1",54.693,62.6133,80.9424,5.81172,9.82478,3.70098,0.108382,0.225411,0.500978,23.1295,22.6072,34.6232,8.37314,2.86477,2.92088,12.6623,2.4599,4.15097
"Gelse.v1.S239640.1",1.57849,2.88475,1.61497,2.12115,5.18783,2.85012,1.63149,1.16409,0.843009,3.53431,1.03568,0.734582,15.376,15.4399,14.7122,19.493,17.4972,11.7345
"Gelse.v1.S054260.1",78.9492,38.5798,113.856,69.4562,54.5967,63.0485,32.4358,32.1586,50.5776,208.543,188.9,117.411,82.8782,120.412,37.8129,65.8659,55.9401,64.5334
"Gelse.v1.S092460.1",59.6241,49.6036,55.8623,47.1873,40.4956,36.0189,28.467,33.2453,31.9522,106.597,114.744,72.6954,53.4786,76.5201,101.074,87.1347,81.3579,108.604
"Gelse.v1.S198570.1",107.074,88.7796,155.282,18.6038,27.1976,19.5365,9.20989,23.7825,6.81138,204.054,159.203,357.007,328.63,170.807,147.409,327.608,81.7677,177.93
"Gelse.v1.S241840.1",57.5882,40.5798,70.0516,40.1993,40.8127,34.9157,57.852,51.6767,47.4419,51.2929,59.9295,38.9445,32.9377,34.9392,36.8269,30.2951,39.0698,33.1704
"Gelse.v1.S252100.1",423.001,227.424,513.13,357.31,379.72,369.075,437.006,346.399,366.527,327.74,306.305,294.172,327.702,355.496,207.744,203.396,326.161,263.493
"Gelse.v1.S247580.4",24.4757,24.8972,31.7112,25.0378,19.7431,21.565,25.3937,18.8495,18.3087,26.308,24.4762,21.7522,21.7651,18.2553,24.6045,22.1774,19.0369,21.0729
"Gelse.v1.S185920.1",0,0,0,0,0,0,0,0,0,0.378556,0.173784,0.356838,0.802388,1.28507,0.832791,0.24379,0.689099,0.13988
"Gelse.v1.S271830.1",0,0,0.207838,0,0,0.124177,0,0,0.064687,0.927608,0.340587,0.874303,0.37762,0.600026,0.737385,0.679211,1.03301,1.29108
"Gelse.v1.S078140.3",41.6799,38.6871,41.6262,36.639,31.5682,33.5427,42.8686,29.3297,35.3419,20.3754,21.8801,25.0177,14.4317,12.9322,9.81551,17.5503,12.6148,13.2971
"Gelse.v1.S005550.1",36.0987,32.6432,40.0772,29.2665,30.2487,31.0297,24.0776,19.0792,20.2534,40.5427,40.565,45.3506,35.9548,30.5035,31.3732,43.8233,34.2095,44.0579
"Gelse.v1.S278920.1",0.423669,0.0334631,0.123812,0.32632100000000003,0.312637,0.200964,0.193415,0.188057,0.285326,0.0347364,9.89035e-4,0.00116891,0,0,0,0,0,0.00806491
